PAR([mmol (photons) m-2 s-1]),Tradescantia_avg,Tradescantia_std,Peperomia_avg,Peperomia_std,Monalisa_avg,Monalisa_std,Philodendron_avg,Philodendron_std,Chlorophytum_avg,Chlorophytum_std,Sphatophilum_avg,Sphatophilum_std
84,2.175840740613128,0.6882198515133992,1.573654070599179,1.220991018202157,2.387514759492422,1.1879341522669422,1.6936678479693803,1.165056153802367,6.05300647219786,1.5300648617874117,5.419435892331133,2.0083974598329517
85,2.196962533310043,0.6937024432133139,1.5847281665917081,1.2249772013981701,2.4060640300310037,1.1931811706720874,1.700492035618345,1.1677504356390314,6.092341655809183,1.5393505337429132,5.445206270573146,2.022806639990271
86,2.2178345306994895,0.6991153049701596,1.5957129640445957,1.2288702154926112,2.4244812108627016,1.1983413643124328,1.707223895375672,1.1703864408001017,6.131267367135799,1.5485674877548943,5.47059604757135,2.037050566400665
87,2.238461072308889,0.7044596500562966,1.6066100491688304,1.2326724988739912,2.442768080003465,1.2034165453752923,1.7138654588845599,1.1729657002031073,6.1697900367074086,1.5577171124304283,5.495612639350008,2.051131283267945
88,2.2588463964909105,0.7097366689825161,1.6174209631562007,1.236386414797744,2.4609263778900483,1.208408478559165,1.7204186945240956,1.1754896942258255,6.207915955402235,1.5668007446286423,5.520263265121043,2.065050811853063
89,2.278994643384001,0.7149475296187181,1.6281472038750993,1.2400142541943873,2.478957808451598,1.21331888261801,1.7268855099492997,1.1779598547580656,6.245651278346611,1.5758196717478465,5.5445549539599135,2.0788111502367794
90,2.2989098577687326,0.720093377359736,1.6387902274881148,1.2435582383537642,2.4968640401430866,1.2181494318454273,1.7332677545063946,1.1803775671537742,6.28300202868116,1.5847751339049367,5.568494551203595,2.0924142731307547
91,2.318595991824238,0.7251753353297176,1.6493514499956545,1.2470205214916052,2.514646706942229,1.222901757501469,1.7395672215305316,1.1827441720891063,6.319974101198976,1.5936683260124254,5.592088724584453,2.1058621317330255
92,2.33805690778882,0.7301945046192762,1.6598322487095656,1.2504031932043056,2.53230740931141,1.2275774491846694,1.7457856505327691,1.1850609673317496,6.356573265860951,1.6025003997581464,5.6153439701130194,2.1191566536241746
93,2.3572963805286355,0.7351519645503305,1.6702339636604917,1.253708280817493,2.549847715126089,1.2321780561517441,1.7519247292825912,1.1873292094264396,6.392805171193185,1.6112724654924377,5.638266617721882,2.1322997427007016
94,2.37631810001814,0.7400487729641695,1.6805578989424612,1.2569377516336453,2.5672691605710773,1.2367050885872852,1.7579860957918925,1.1895501153013028,6.428675347571111,1.6199855940273347,5.660862836682283,2.145293279142461
95,2.395125673735856,0.7448859665288207,1.6908053239980052,1.2600935150837322,2.584573251006009,1.241160018825661,1.763971340205924,1.191724863799357,6.46418921039485,1.628640818352096,5.683138640804303,2.1581391194111923
96,2.413722628978828,0.7496645610622861,1.7009774748468907,1.263177424787581,2.601761461801273,1.2455442825272127,1.7698820066063723,1.19385459713924,6.499352063160033,1.6372391352691336,5.7050998934309245,2.170839096277447
97,2.432112415098983,0.75438555186862,1.7110755552613806,1.26619128052741,2.6188352391456053,1.2498592798107508,1.7757195947313937,1.195940422308984,6.534169100428197,1.6457815069542423,5.726752312235708,2.183395018873373
98,2.4502984056644843,0.7590499140842063,1.721100737890758,1.2691368301387373,2.6357960008264896,1.254106376344228,1.781485561617131,1.1979834123964028,6.56864541070058,1.6542688624447839,5.7481014738332545,2.1958086727690724
99,2.468283900549013,0.7636586030319125,1.7310541653376896,1.2720157713226348,2.652645136984458,1.2582869043953993,1.7871813231649414,1.1999846078594685,6.602785979199119,1.6627020990593369,5.769152818211143,2.20808182007034
100,2.4860721279517755,0.7682125545810838,1.740936951188855,1.2748297533830912,2.6693840108423337,1.262402163844174,1.7928082556383182,1.20194501773982,6.636595690558109,1.6710820837521112,5.789911652991601,2.220216199535839
101,2.5036662463509303,0.7727126855116125,1.7507501810021273,1.2775803788930506,2.6860139594104084,1.2664534231582893,1.7983676970932305,1.2038656208223826,6.670079331429998,1.6794096544052743,5.810383157530606,2.2322135267118566
102,2.521069346392989,0.7771598938805144,1.7604949132524597,1.2802692052924882,2.7025362941685,1.2704419203338437,1.803860948745378,1.205747366743881,6.703241593008502,1.6876856210621747,5.830572386861866,2.244075494082949
103,2.5382844527206463,0.7815550593896737,1.7701721802385164,1.2828977464217222,2.718952301725807,1.274368863802182,1.809289276277657,1.207591177052878,6.736087073472182,1.695910767104299,5.8504842754926045,2.2558037712369243
