Ca,Tradescantia_low_1,Tradescantia_low_2,Tradescantia_low_3,Tradescantia_medium_1,Tradescantia_medium_2,Tradescantia_medium_3,Tradescantia_high_1,Tradescantia_high_2,Tradescantia_high_3,Monalisa_low_1,Monalisa_low_2,Monalisa_low_3,Monalisa_medium_1,Monalisa_medium_2,Monalisa_medium_3,Peperomia_low_1,Peperomia_low_2,Peperomia_low_3,Peperomia_medium_1,Peperomia_medium_3,Peperomia_high_2,Sphatophilum_low_1,Sphatophilum_low_2,Sphatophilum_low_3,Sphatophilum_medium_1,Sphatophilum_medium_2,Sphatophilum_medium_3,Sphatophilum_high_1,Sphatophilum_high_3,Philodendron_low_1,Philodendron_low_2,Philodendron_low_3,Philodendron_medium_1,Philodendron_medium_2,Philodendron_medium_3,Philodendron_high_1,Philodendron_high_2,Philodendron_high_3,Chlorophytum_low_1,Chlorophytum_low_2,Chlorophytum_low_3,Chlorophytum_high_1,Chlorophytum_high_2,Chlorophytum_high_3
243,2.7469277923103625,3.4508166443066255,2.8202185158671256,3.36352417790748,2.138479352945483,2.9246309371202903,3.3391430992137447,2.8700238467806396,1.3286592231661758,2.5639282859572314,1.9901778141261248,1.5151217665747636,1.01239004207247,2.2402157880548152,3.2552360714820874,0.5294131190472843,1.495496813815251,1.2740259359152535,0.9588657366571143,0.47718128856414277,0.42977438794345524,1.8321555744086224,0.9069423399954473,2.1852773023705154,3.2801453363754662,0.5986923593396108,,1.7698678669303078,0.976960270183229,0.4781909953808543,0.5423873731845573,0.3329718569125694,0.4091235168534206,0.73116939505871,0.5548366029767994,0.8860691322661537,1.0814279153721775,,2.064159855560399,1.6477813091617235,1.5772591365463149,1.0761697770473755,1.1588350657351567,1.7732356951650796
244,2.7618617395304486,3.4682760139985005,2.834630329027383,3.3822959979787415,2.1511431051928342,2.9393931063706695,3.3568164196676866,2.884354042410909,1.3358954021789011,2.5836921059739124,2.002674829495451,1.5244058872511208,1.0210340486718552,2.2576191588266434,3.2733179778129387,0.5350899589863969,1.5065211592389813,1.2839519993229929,0.9684370929794905,0.48240117198982685,0.43556278871772336,1.8438793902208923,0.9154047889783009,2.1994231174883496,3.2993937217551825,0.6079305442209745,,1.781525464390417,0.9864929060876039,0.4829531503941056,0.5474515870522357,0.33633606211931194,0.41271208871977627,0.7375372987530453,0.5599388515803841,0.8927726006511619,1.0909813903319903,,2.0778077300258104,1.6582597214663883,1.5888419198674646,1.085354878988337,1.1657680924579037,1.7834310859496285
245,2.776795686750534,3.4857353836903755,2.8490421421876406,3.401067818050003,2.163806857440185,2.9541552756210487,3.374489740121628,2.8986842380411786,1.3431315811916265,2.6034559259905934,2.015171844864777,1.533690007927478,1.0296780552712406,2.275022529598472,3.29139988414379,0.5407667989255095,1.5175455046627118,1.2938780627307325,0.9780084493018668,0.48762105541551093,0.44135118949199154,1.8556032060331622,0.9238672379611546,2.2135689326061843,3.3186421071348993,0.6171687291023382,,1.7931830618505264,0.9960255419919788,0.4877153054073568,0.5525158009199143,0.33970026732605446,0.41630066058613197,0.7439052024473805,0.5650411001839689,0.8994760690361703,1.100534865291803,,2.0914556044912214,1.6687381337710532,1.6004247031886143,1.0945399809292984,1.1727011191806507,1.7936264767341774
246,2.7917296339706197,3.5031947533822505,2.863453955347898,3.419839638121265,2.176470609687536,2.968917444871428,3.39216306057557,2.9130144336714485,1.3503677602043518,2.6232197460072744,2.027668860234103,1.5429741286038352,1.0383220618706257,2.2924259003703003,3.3094817904746407,0.5464436388646221,1.528569850086442,1.303804126138472,0.9875798056242431,0.49284093884119506,0.4471395902662597,1.867327021845432,0.9323296869440083,2.2277147477240185,3.3378904925146156,0.626406913983702,,1.8048406593106359,1.0055581778963536,0.4924774604206081,0.5575800147875927,0.3430644725327969,0.41988923245248766,0.7502731061417157,0.5701433487875537,0.9061795374211785,1.1100883402516157,,2.1051034789566327,1.6792165460757178,1.612007486509764,1.10372508287026,1.1796341459033977,1.8038218675187265
247,2.8066635811907057,3.5206541230741255,2.8778657685081557,3.4386114581925264,2.189134361934887,2.983679614121807,3.4098363810295114,2.927344629301718,1.357603939217077,2.6429835660239553,2.040165875603429,1.5522582492801924,1.046966068470011,2.3098292711421284,3.327563696805492,0.5521204788037348,1.5395941955101724,1.3137301895462117,0.9971511619466193,0.4980608222668791,0.45292799104052783,1.8790508376577018,0.940792135926862,2.241860562841853,3.3571388778943323,0.6356450988650656,,1.816498256770745,1.0150908138007286,0.49723961543385936,0.5626442286552711,0.34642867773953945,0.4234778043188433,0.7566410098360509,0.5752455973911383,0.9128830058061868,1.1196418152114285,,2.1187513534220437,1.6896949583803824,1.6235902698309137,1.1129101848112215,1.1865671726261446,1.8140172583032754
248,2.8215975284107913,3.5381134927660005,2.892277581668413,3.457383278263788,2.201798114182238,2.9984417833721864,3.4275097014834532,2.9416748249319875,1.3648401182298022,2.6627473860406363,2.0526628909727553,1.5615423699565496,1.0556100750693962,2.3272326419139566,3.3456456031363433,0.5577973187428473,1.5506185409339028,1.3236562529539513,1.0067225182689956,0.5032807056925632,0.458716391814796,1.8907746534699716,0.9492545849097156,2.2560063779596873,3.3763872632740486,0.6448832837464293,,1.8281558542308542,1.0246234497051034,0.5020017704471106,0.5677084425229495,0.34979288294628197,0.42706637618519905,0.7630089135303861,0.5803478459947231,0.919586474191195,1.1291952901712412,,2.132399227887455,1.7001733706850473,1.6351730531520632,1.122095286752183,1.1935001993488916,1.8242126490878243
249,2.836531475630877,3.5555728624578755,2.9066893948286707,3.4761550983350498,2.214461866429589,3.0132039526225656,3.4451830219373947,2.956005020562257,1.3720762972425276,2.6825112060573177,2.0651599063420814,1.5708264906329068,1.0642540816687815,2.344636012685785,3.3637275094671946,0.56347415868196,1.5616428863576333,1.333582316361691,1.0162938745913719,0.5085005891182472,0.4645047925890642,1.9024984692822415,0.9577170338925693,2.2701521930775215,3.395635648653765,0.654121468627793,,1.8398134516909637,1.0341560856094782,0.5067639254603619,0.5727726563906279,0.3531570881530245,0.4306549480515547,0.7693768172247214,0.5854500945983079,0.9262899425762032,1.138748765131054,,2.146047102352866,1.710651782989712,1.6467558364732129,1.1312803886931444,1.2004332260716386,1.8344080398723732
250,2.8514654228509624,3.5730322321497505,2.921101207988928,3.4949269184063114,2.22712561867694,3.027966121872945,3.462249308849231,2.970335216192527,1.3793124762552529,2.7022750260739983,2.0776569217114074,1.580110611309264,1.0728980882681667,2.3620393834576134,3.3818094157980454,0.5691509986210727,1.5726672317813637,1.3435083797694305,1.0258652309137481,0.5137204725439314,0.47029319336333236,1.9142222850945112,0.966179482875423,2.284298008195356,3.4148840340334816,0.6631161766566237,,1.851471049151073,1.0436887215138533,0.5115260804736131,0.5778368702583063,0.356521293359767,0.43424351991791044,0.7757447209190566,0.5905523432018926,0.9329934109612115,1.1483022400908667,,2.1596949768182774,1.7211301952943767,1.6583386197943626,1.1404654906341058,1.2073662527943856,1.8446034306569223
251,2.866399370071048,3.5904916018416255,2.9355130211491858,3.513698738477573,2.239789370924291,3.042728291123324,3.4793155957610677,2.9846654118227964,1.3865486552679782,2.7220388460906797,2.0901539370807334,1.5893947319856212,1.0815420948675518,2.3794427542294416,3.3998913221288967,0.5748278385601853,1.5836915772050941,1.35343444317717,1.0354365872361244,0.5189403559696155,0.47608159413760054,1.9259461009067813,0.9746419318582766,2.2984438233131903,3.4328782551880606,0.6721108846854544,,1.8631286466111823,1.053221357418228,0.5162882354868644,0.5829010841259848,0.35988549856650953,0.4378320917842661,0.7821126246133918,0.5956545918054774,0.9396968793462197,1.1578557150506794,,2.1733428512836883,1.7316086075990413,1.6699214031155123,1.1496505925750673,1.2142992795171326,1.8547988214414712
252,2.881333317291134,3.6079509715335005,2.949924834309443,3.5324705585488347,2.252453123171642,3.057490460373703,3.496381882672904,2.998995607453066,1.3937848342807035,2.7418026661073607,2.1018864958386003,1.5986788526619784,1.0901861014669372,2.39684612500127,3.417973228459748,0.5805046784992979,1.5947159226288246,1.3633605065849097,1.0450079435585007,0.5241602393952995,0.48186999491186866,1.937669916719051,0.9831043808411304,2.312589638431025,3.4508724763426395,0.6811055927142851,,1.8747862440712915,1.0627539933226031,0.5210503905001157,0.5879652979936633,0.36324970377325205,0.4414206636506217,0.788480528307727,0.6005453821593503,0.9464003477312279,1.1674091900104921,,2.1869907257490997,1.7420870199037062,1.681504186436662,1.1588356945160287,1.2212323062398796,1.8649942122260201
253,2.8962672645112195,3.625410341225376,2.964336647469701,3.551242378620097,2.265116875418993,3.0722526296240824,3.513448169584741,3.0133258030833354,1.4010210132934289,2.7615664861240417,2.113619054596467,1.6079629733383354,1.0988301080663225,2.414249495773098,3.436055134790599,0.5861815184384105,1.6057402680525548,1.3732865699926493,1.054579299880877,0.5293801228209836,0.48765839568613684,1.9493937325313209,0.991566829823984,2.326735453548859,3.4688666974972184,0.6901003007431158,,1.8859206768188965,1.072286629226978,0.525812545513367,0.5930295118613417,0.3666139089799946,0.44500923551697746,0.7948484320020622,0.6054361725132231,0.9531038161162362,1.1769626649703049,,2.2006386002145106,1.752565432208371,1.6930869697578117,1.1680207964569902,1.2281653329626265,1.875189603010569
254,2.911201211731305,3.642869710917251,2.978748460629958,3.5700141986913585,2.277780627666344,3.0870147988744616,3.530514456496577,3.0276559987136054,1.4082571923061542,2.7813303061407226,2.1253516133543338,1.6172470940146928,1.1074741146657077,2.431652866544926,3.4541370411214505,0.5918583583775231,1.6167646134762852,1.383212633400389,1.0641506562032532,0.5346000062466677,0.493446796460405,1.9611175483435908,1.0000292788068377,2.3408812686666938,3.4868609186517974,0.6990950087719465,,1.8970551095665018,1.0818192651313527,0.5305747005266181,0.5980937257290202,0.3699781141867371,0.4485978073833331,0.8012163356963975,0.6103269628670961,0.9598072845012445,1.1865161399301176,,2.214286474679922,1.7630438445130356,1.7046697530789614,1.1772058983979519,1.2350983596853735,1.8853849937951181
255,2.9261351589513906,3.660329080609126,2.993160273790216,3.58878601876262,2.290444379913695,3.101776968124841,3.547580743408414,3.041986194343875,1.4154933713188795,2.8010941261574036,2.1370841721122003,1.6265312146910498,1.1161181212650928,2.4490562373167544,3.4722189474523013,0.5975351983166357,1.6277889589000156,1.3931386968081285,1.0737220125256295,0.5398198896723518,0.49923519723467313,1.9728413641558604,1.0084917277896914,2.355027083784528,3.5048551398063763,0.7080897168007771,,1.9081895423141069,1.0913519010357278,0.5353368555398694,0.6031579395966986,0.3733423193934796,0.45218637924968885,0.8075842393907326,0.6152177532209689,0.9665107528862528,1.1960696148899304,,2.2279343491453334,1.7735222568177003,1.7162525364001109,1.1863910003389133,1.2420313864081205,1.895580384579667
256,2.9410691061714767,3.677788450301001,3.007572086950473,3.607557838833882,2.303108132161046,3.11653913737522,3.56464703032025,3.0563163899741443,1.4227295503316049,2.8208579461740846,2.148816730870067,1.635815335367407,1.1247621278644782,2.4664596080885826,3.4903008537831526,0.6032120382557484,1.638813304323746,1.4030647602158681,1.0832933688480058,0.5450397730980359,0.5050235980089414,1.9845651799681303,1.0169541767725452,2.369172898902362,3.5228493609609552,0.7170844248296079,,1.919323975061712,1.1008845369401026,0.5400990105531207,0.608222153464377,0.37670652460022214,0.4555761657423348,0.8139521430850679,0.6201085435748418,0.973214221271261,1.2056230898497429,,2.2415822236107443,1.784000669122365,1.7278353197212608,1.1955761022798748,1.2489644131308675,1.905775775364216
257,2.956003053391562,3.695247819992876,3.021983900110731,3.6263296589051435,2.315771884408397,3.1313013066255992,3.581713317232087,3.070646585604414,1.4299657293443302,2.8406217661907656,2.1605492896279337,1.6450994560437642,1.1329983180067402,2.4838629788604107,3.508382760114004,0.608888878194861,1.6498376497474765,1.4129908236236075,1.092864725170382,0.55025965652372,0.5108119987832095,1.9962889957804002,1.0254166257553987,2.383318714020197,3.5408435821155346,0.7260791328584386,,1.9304584078093172,1.1104171728444774,0.544861165566372,0.6132863673320554,0.38007072980696466,0.4589659522349807,0.8203200467794032,0.6249993339287147,0.9799176896562692,1.2151765648095556,,2.2547155675702477,1.79447908142703,1.7394181030424103,1.2047612042208362,1.2558974398536145,1.9159711661487648
258,2.970937000611648,3.712707189684751,3.0363957132709882,3.645101478976405,2.328435636655748,3.1460634758759785,3.5987796041439233,3.0849767812346833,1.4372019083570555,2.859138467062873,2.1722818483858006,1.6543835767201214,1.1412345081490023,2.501266349632239,3.526464666444855,0.6145657181339736,1.660861995171207,1.422916887031347,1.1024360814927583,0.555479539949404,0.5166003995574777,2.00801281159267,1.0338790747382525,2.397464529138031,3.5588378032701136,0.7350738408872693,,1.9415928405569223,1.1199498087488524,0.5496233205796233,0.6183505811997339,0.3834349350137072,0.4623557387276266,0.8266879504737383,0.6298901242825875,0.9866211580412775,1.2247300397693683,,2.2678489115297515,1.8049574937316946,1.75100088636356,1.2139463061617977,1.2628304665763614,1.926166556933314
259,2.9858709478317333,3.730166559376626,3.050807526431246,3.662688776208985,2.341099388903099,3.1608256451263577,3.61584589105576,3.0993069768649533,1.4444380873697809,2.8776551679349804,2.1840144071436676,1.6636676973964786,1.1494706982912641,2.5186697204040676,3.5445465727757064,0.6202425580730863,1.6718863405949373,1.4328429504390867,1.1120074378151346,0.5606994233750882,0.5223888003317458,2.01973662740494,1.0423415237211062,2.411610344255865,3.5768320244246925,0.7440685489161001,,1.9527272733045273,1.1294824446532272,0.5543854755928745,0.6234147950674123,0.3867991402204497,0.4657455252202725,0.8330558541680736,0.6347809146364605,0.9933246264262858,1.234283514729181,,2.280982255489255,1.8154359060363592,1.7625836696847097,1.223131408102759,1.2697634932991084,1.9363619477178629
260,3.000804895051819,3.747625929068501,3.0652193395915033,3.6802760734415645,2.3537631411504503,3.175587814376737,3.6329121779675964,3.1136371724952228,1.4516742663825062,2.896171868807088,2.195746965901534,1.6729518180728358,1.1577068884335262,2.5357901789490325,3.5626284791065572,0.6259193980121989,1.6829106860186678,1.4427690138468263,1.1215787941375108,0.5659193068007722,0.528177201106014,2.0314604432172096,1.0508039727039598,2.4257561593737,3.5948262455792714,0.7530632569449307,,1.9638617060521326,1.139015080557602,0.5591476306061258,0.6284790089350907,0.3901633454271922,0.46913531171291845,0.8394237578624089,0.6396717049903333,1.000028094811294,1.2438369896889938,,2.2941155994487588,1.825914318341024,1.7741664530058594,1.2323165100437206,1.2766965200218554,1.9465573385024117
261,3.015738842271905,3.7650852987603765,3.079631152751761,3.697863370674144,2.366426893397801,3.190349983627116,3.649978464879433,3.1279673681254923,1.4589104453952313,2.9146885696791953,2.207479524659401,1.682235938749193,1.1659430785757883,2.552910637493998,3.5807103854374085,0.6315962379513115,1.693935031442398,1.452695077254566,1.131150150459887,0.5711391902264563,0.5339656018802822,2.0431842590294798,1.0592664216868135,2.439901974491534,3.6128204667338504,0.7620579649737614,,1.9749961387997377,1.148547716461977,0.5639097856193771,0.6335432228027692,0.3933850570273902,0.4725250982055644,0.845791661556744,0.6445624953442062,1.0067315631963023,1.2533904646488065,,2.307248943408262,1.8363927306456889,1.785749236327009,1.241501611984682,1.2836295467446024,1.9567527292869606
262,3.0306727894919905,3.7825446684522515,3.0940429659120183,3.715450667906724,2.379090645645152,3.2051121528774953,3.6670447517912694,3.142297563755762,1.4661466244079566,2.9332052705513028,2.2192120834172675,1.6915200594255502,1.1741792687180503,2.5700310960389627,3.5987922917682598,0.6372730778904241,1.7049593768661284,1.4626211406623055,1.1407215067822634,0.5763590736521405,0.5397540026545503,2.0549080748417494,1.0677288706696673,2.4540477896093686,3.6308146878884293,0.7710526730025922,,1.9861305715473427,1.1580803523663519,0.5686719406326284,0.6386074366704476,0.39660676862758815,0.47591488469821025,0.8521595652510793,0.649453285698079,1.0134350315813105,1.2629439396086193,,2.3203822873677655,1.8468711429503535,1.7973320196481588,1.2506867139256435,1.2905625734673496,1.9669481200715095
263,3.0450721405037156,3.8000040381441265,3.108454779072276,3.733037965139303,2.391754397892503,3.2198743221278745,3.684111038703106,3.1566277593860317,1.473382803420682,2.95172197142341,2.2309446421751344,1.7008041801019074,1.1824154588603124,2.5871515545839276,3.616874198099111,0.6429499178295368,1.7159837222898588,1.4725472040700451,1.1502928631046396,0.5815789570778245,0.5455424034288185,2.066631890654019,1.0761913196525208,2.468193604727203,3.6488089090430083,0.7800473810314228,,1.997265004294948,1.1676129882707267,0.5734340956458797,0.643671650538126,0.3998284802277861,0.4793046711908562,0.8585274689454144,0.6543440760519519,1.0201384999663188,1.272497414568432,,2.3335156313272694,1.857349555255018,1.8089148029693085,1.259871815866605,1.2974956001900966,1.9771435108560587
264,3.0594714915154406,3.8174634078360015,3.1228665922325334,3.7506252623718828,2.404418150139854,3.2346364913782537,3.7011773256149425,3.170957955016301,1.4806189824334073,2.9702386722955176,2.2426772009330014,1.7064681651237976,1.1906516490025743,2.6042720131288926,3.6349561044299623,0.6486267577686493,1.7270080677135893,1.4824732674777847,1.159864219427016,0.5867988405035085,0.5513308042030867,2.078355706466289,1.0846537686353745,2.4823394198450375,3.666803130197587,0.7890420890602535,,2.008399437042553,1.1771456241751017,0.5781962506591309,0.6487358644058046,0.4030501918279841,0.4826944576835021,0.8648953726397497,0.6592348664058247,1.026841968351327,1.2820508895282448,,2.3466489752867727,1.867827967559683,1.820497586290458,1.2690569178075664,1.3044286269128436,1.9873389016406076
265,3.0738708425271657,3.8349227775278765,3.137278405392791,3.7682125596044624,2.417081902387205,3.249398660628633,3.7182436125267793,3.1852881506465707,1.4878551614461326,2.988755373167625,2.254409759690868,1.7121321501456879,1.1988878391448363,2.621392471673858,3.653038010760813,0.654303597707762,1.7380324131373197,1.4923993308855243,1.1694355757493922,0.5920187239291926,0.5571192049773548,2.090079522278559,1.0931162176182283,2.4964852349628717,3.684797351352166,0.7980367970890843,,2.019533869790158,1.1866782600794767,0.5829584056723822,0.653800078273483,0.40627190342818204,0.48608424417614804,0.8712632763340848,0.6641256567596977,1.0335454367363353,1.2916043644880575,,2.3597823192462766,1.8783063798643478,1.832080369611608,1.2782420197485278,1.3113616536355905,1.9975342924251565
266,3.0882701935388903,3.8513141377632194,3.1516902185530484,3.785799856837042,2.429745654634556,3.264160829879012,3.7353098994386156,3.19961834627684,1.495091340458858,3.0072720740397325,2.266142318448735,1.7177961351675781,1.2071240292870984,2.638512930218823,3.6711199170916644,0.6599804376468746,1.74905675856105,1.502325394293264,1.1790069320717684,0.5972386073548768,0.5629076057516229,2.1018033380908285,1.1015786666010818,2.510631050080706,3.702791572506745,0.807031505117915,,2.030668302537763,1.1962108959838516,0.5877205606856334,0.6588642921411614,0.40949361502838,0.4894740306687939,0.8776311800284201,0.6690164471135706,1.0402489051213435,1.3011578394478702,,2.37291566320578,1.8887847921690124,1.8436631529327574,1.2874271216894893,1.3182946803583375,2.0077296832097056
267,3.1026695445506154,3.867705497998563,3.166102031713306,3.803387154069622,2.4424094068819073,3.2789229991293913,3.7523761863504523,3.21394854190711,1.5023275194715833,3.02578877491184,2.2778748772066013,1.7234601201894684,1.2153602194293605,2.6556333887637877,3.6892018234225157,0.6656572775859873,1.7600811039847803,1.5122514577010036,1.1885782883941447,0.6024584907805608,0.5686960065258911,2.1135271539030986,1.1100411155839356,2.5247768651985405,3.720785793661324,0.8160262131467457,,2.0418027352853683,1.2057435318882264,0.5924827156988847,0.6639285060088398,0.41271532662857796,0.49286381716143984,0.8839990837227554,0.6739072374674434,1.0469523735063517,1.310711314407683,,2.3860490071652833,1.899263204473677,1.855245936253907,1.2960306711505962,1.3252277070810845,2.0179250739942542
268,3.1170688955623405,3.8840968582339057,3.1805138448735635,3.8209744513022015,2.455073159129258,3.2936851683797705,3.7694424732622887,3.2282787375373796,1.5095636984843086,3.0443054757839474,2.2896074359644683,1.7291241052113586,1.2235964095716225,2.672753847308753,3.7072837297533665,0.6713341175250999,1.7711054494085108,1.5221775211087432,1.198149644716521,0.6076783742062449,0.5744844073001593,2.1252509697153683,1.1185035645667893,2.5389226803163747,3.738780014815903,0.8250209211755763,,2.0529371680329738,1.2152761677926014,0.597244870712136,0.6689927198765182,0.4159370382287759,0.4962536036540858,0.8903669874170905,0.6787980278213163,1.05365584189136,1.3202647893674957,,2.399182351124787,1.9097416167783419,1.8667301492858897,1.3046342206117032,1.3321607338038315,2.0281204647788034
269,3.1314682465740655,3.9004882184692486,3.1949256580338212,3.838561748534781,2.467736911376609,3.3084473376301498,3.7865087601741254,3.242608933167649,1.516799877497034,3.062822176656055,2.301339994722335,1.7347880902332489,1.2318325997138844,2.689874305853718,3.725365636084218,0.6770109574642125,1.7821297948322412,1.5321035845164828,1.2077210010388972,0.6128982576319291,0.5802728080744275,2.136974785527638,1.126966013549643,2.553068495434209,3.7567742359704823,0.8340156292044071,,2.064071600780579,1.2248088036969762,0.6020070257253872,0.6740569337441966,0.4191587498289739,0.4996433901467317,0.8967348911114258,0.6836888181751891,1.0603593102763682,1.3298182643273084,,2.4123156950842906,1.9198078302915207,1.8782143623178722,1.31323777007281,1.3390937605265785,2.0383158555633525
270,3.1458675975857906,3.9168795787045916,3.2093374711940785,3.856149045767361,2.48040066362396,3.323209506880529,3.8035750470859617,3.2569391287979186,1.5240360565097593,3.0813388775281623,2.3130725534802017,1.7404520752551391,1.2400687898561464,2.706994764398683,3.743447542415069,0.6826877974033252,1.7931541402559716,1.5420296479242221,1.2172923573612735,0.6181181410576131,0.5860612088486956,2.148698601339908,1.1354284625324966,2.5672143105520435,3.7747684571250613,0.8430103372332378,0.0033918936223142904,2.075206033528184,1.234341439601351,0.6067691807386385,0.679121147611875,0.42238046142917185,0.5030331766393776,0.903102794805761,0.6885796085290621,1.0670627786613767,1.3393717392871212,,2.4254490390437944,1.9298740438046995,1.8896985753498545,1.321841319533917,1.3460267872493255,2.048511246347901
271,3.1602669485975152,3.933270938939935,3.2237492843543363,3.8737363429999405,2.493064415871311,3.337971676130908,3.8206413339977985,3.2712693244281885,1.5312722355224846,3.0998555784002697,2.3248051122380686,1.7461160602770294,1.2483049799984085,2.7241152229436483,3.7615294487459203,0.6883646373424377,1.804178485679702,1.5519557113319618,1.2268637136836498,0.6233380244832971,0.5918496096229637,2.1604224171521778,1.1438909115153504,2.5813601256698777,3.79276267827964,0.8520050452620684,0.009458742088880034,2.086340466275789,1.243874075505726,0.6115313357518898,0.6841853614795536,0.42560217302936987,0.5064229631320235,0.9094706985000962,0.6934703988829349,1.0737662470463847,1.348925214246934,,2.4385823830032978,1.9399402573178781,1.901182788381837,1.330444868995024,1.3529598139720724,2.0587066371324503
272,3.1746662996092403,3.949662299175278,3.2381610975145936,3.8913236402325198,2.505728168118662,3.3527338453812874,3.837707620909635,3.285599520058458,1.53850841453521,3.118372279272377,2.336537670995935,1.7517800452989196,1.2565411701406706,2.741235681488613,3.7796113550767716,0.6940414772815504,1.8152028311034325,1.5618817747397014,1.236435070006026,0.6285579079089813,0.597638010397232,2.172146232964448,1.152353360498204,2.5955059407877124,3.810756899434219,0.8609997532908992,0.015525590555445834,2.097474899023394,1.2534067114101008,0.616293490765141,0.689249575347232,0.4288238846295678,0.5098127496246694,0.9158386021944315,0.6983611892368078,1.0804697154313931,1.3584786892067466,,2.451715726962801,1.950006470831057,1.9126670014138196,1.3390484184561309,1.3598928406948194,2.068902027916999
273,3.1890656506209654,3.966053659410621,3.2525729106748513,3.9089109374650994,2.518391920366013,3.3674960146316666,3.8547739078214716,3.2999297156887275,1.5457445935479353,3.1368889801444846,2.348270229753802,1.7574440303208099,1.2647773602829324,2.758356140033578,3.7976932614076224,0.699718317220663,1.826227176527163,1.571807838147441,1.2460064263284023,0.6337777913346654,0.6034264111715001,2.1838700487767175,1.1608158094810577,2.6096517559055465,3.828751120588798,0.8699944613197299,0.021592439022011578,2.1086093317709995,1.2629393473144757,0.6210556457783922,0.6943137892149104,0.4320455962297658,0.5132025361173154,0.9222065058887667,0.7032519795906806,1.0871731838164012,1.3680321641665594,,2.464849070922305,1.9600726843442358,1.9241512144458022,1.3476519679172378,1.3668258674175664,2.079097418701548
274,3.2034650016326904,3.9824450196459638,3.2669847238351086,3.926498234697679,2.531055672613364,3.382258183882046,3.871840194733308,3.314259911318997,1.5529807725606606,3.155405681016592,2.3600027885116686,1.7631080153427001,1.2730135504251945,2.7754765985785435,3.8157751677384737,0.7053951571597756,1.8372515219508934,1.5817339015551806,1.2555777826507786,0.6389976747603494,0.6092148119457683,2.1933554049114243,1.1692782584639114,2.623797571023381,3.846745341743377,0.8789891693485606,0.027659287488577322,2.1197437645186046,1.2724719832188507,0.6258178007916435,0.6993780030825889,0.43526730782996376,0.5165923226099612,0.9285744095831019,0.7081427699445535,1.0938766522014096,1.377585639126372,,2.4779824148818084,1.9701388978574146,1.9356354274777847,1.3562555173783446,1.3737588941403134,2.089292809486097
275,3.2178643526444155,3.998836379881307,3.2813965369953664,3.944085531930259,2.543719424860715,3.397020353132425,3.8889064816451446,3.3285901069492665,1.560216951573386,3.1739223818886995,2.3717353472695355,1.7687720003645904,1.2812497405674566,2.7925970571235084,3.833857074069325,0.7110719970988882,1.8482758673746236,1.5916599649629202,1.2651491389731548,0.6442175581860334,0.6150032127200364,2.2028407610461316,1.1777407074467652,2.6379433861412154,3.864739562897956,0.8879838773773914,0.03372613595514312,2.1308781972662096,1.2820046191232255,0.6305799558048948,0.7044422169502673,0.4384890194301617,0.5199821091026072,0.934942313277437,0.7130335602984263,1.1005801205864179,1.3871391140861848,,2.491115758841312,1.9802051113705934,1.9471196405097673,1.3648590668394516,1.3806919208630604,2.099488200270646
276,3.2322637036561406,4.01522774011665,3.2958083501556237,3.9616728291628385,2.5563831771080663,3.411782522382804,3.905972768556981,3.3429203025795364,1.5674531305861112,3.192439082760807,2.383467906027402,1.7744359853864806,1.2894859307097186,2.8097175156684733,3.8519389804001762,0.7167488370380009,1.859300212798354,1.6015860283706598,1.274720495295531,0.6494374416117177,0.6207916134943046,2.2123261171808384,1.1862031564296187,2.6520892012590496,3.882733784052535,0.896978585406222,0.039792984421708866,2.1420126300138147,1.2915372550276003,0.6353421108181461,0.7095064308179457,0.4417107310303597,0.5233718955952531,0.9413102169717724,0.7179243506522993,1.107283588971426,1.3966925890459976,,2.5042491028008156,1.990271324883772,1.9586038535417496,1.3734626163005585,1.3876249475858073,2.109683591055195
277,3.2466630546678656,4.0316191003519934,3.310220163315881,3.979260126395418,2.5690469293554172,3.4265446916331834,3.9230390554688173,3.357250498209806,1.5746893095988366,3.2109557836329143,2.395200464785269,1.7800999704083709,1.2977221208519807,2.826837974213438,3.8700208867310275,0.7224256769771136,1.8703245582220844,1.6115120917783994,1.2842918516179074,0.6546573250374017,0.6265800142685728,2.2218114733155456,1.1946656054124725,2.666235016376884,3.900728005207114,0.9059732934350527,0.0461765128983013,2.1531470627614198,1.3010698909319753,0.6401042658313973,0.7145706446856241,0.44493244263055765,0.526761682087899,0.9476781206661076,0.7228151410061722,1.1139870573564343,1.4062460640058103,,2.517382446760319,2.000337538396951,1.9700880665737321,1.3820661657616655,1.3945579743085543,2.119878981839744
278,3.2610624056795903,4.048010460587336,3.3246319764761387,3.996847423627998,2.581710681602768,3.4413068608835626,3.940105342380654,3.3715806938400754,1.581925488611562,3.229472484505022,2.406933023543136,1.7857639554302611,1.3059583109942425,2.8439584327584035,3.8881027930618783,0.7281025169162261,1.8813489036458149,1.621438155186139,1.2938632079402836,0.6598772084630857,0.6323684150428409,2.2312968294502524,1.203128054395326,2.6803808314947184,3.9187222263616928,0.9149680014638835,0.05256004137489372,2.164281495509025,1.3106025268363501,0.6448664208446486,0.7196348585533026,0.4481541542307556,0.530151468580545,0.9540460243604427,0.727705931360045,1.1206905257414426,1.415799538965623,,2.530515790719823,2.0104037519101294,1.9815722796057147,1.3906697152227725,1.4014910010313013,2.1300743726242928
