Ca,Tradescantia_low_1,Tradescantia_low_2,Tradescantia_low_3,Tradescantia_medium_1,Tradescantia_medium_2,Tradescantia_medium_3,Tradescantia_high_1,Tradescantia_high_2,Tradescantia_high_3,Monalisa_low_1,Monalisa_low_2,Monalisa_low_3,Monalisa_medium_1,Monalisa_medium_2,Monalisa_medium_3,Peperomia_low_1,Peperomia_low_2,Peperomia_low_3,Peperomia_medium_1,Peperomia_medium_3,Peperomia_high_2,Sphatophilum_low_1,Sphatophilum_low_2,Sphatophilum_low_3,Sphatophilum_medium_1,Sphatophilum_medium_2,Sphatophilum_medium_3,Sphatophilum_high_1,Sphatophilum_high_3,Philodendron_low_1,Philodendron_low_2,Philodendron_low_3,Philodendron_medium_1,Philodendron_medium_2,Philodendron_medium_3,Philodendron_high_1,Philodendron_high_2,Philodendron_high_3,Chlorophytum_low_1,Chlorophytum_low_2,Chlorophytum_low_3,Chlorophytum_high_1,Chlorophytum_high_2,Chlorophytum_high_3
1445,6.503585870544244,8.607369067808369,6.973009113814708,10.431654136661917,9.661543852946966,9.079164801412718,8.019517997498143,7.235057484265347,6.260339699511872,8.990425179813652,4.574675425835171,3.523492990778955,3.7160901324462734,9.047198090882496,12.912052292023885,5.7464499609977775,8.743858347713507,8.03079790969011,9.748185072775698,5.024781805106405,5.894657479067276,6.394615881894948,4.630816495192462,7.133471959958773,10.961954355123266,6.832590984863389,3.4525867818728453,8.960508096910615,8.339785631793406,4.0586499203461175,4.1253434526103145,2.581897330987556,3.3949731044912514,4.391125318903299,4.914920629080167,5.2719871294723735,9.056885825777389,0.47944145929294607,6.1301255023429695,5.525128924416799,5.268132872763913,6.261498652438743,5.003535996700475,5.684079830375403
1446,6.504196952570043,8.607369067808369,6.973009113814708,10.43277577783203,9.661543852946966,9.080098106833342,8.020256194729525,7.235057484265347,6.262649248803173,8.991564135660507,4.575140584119453,3.52387056997572,3.716614460183633,9.048469922479441,12.912052292023885,5.7488101869548265,8.745740567369088,8.033105717347935,9.75169731254234,5.025855071488516,5.898107098743347,6.3955772902213965,4.631671230249153,7.134388402680407,10.963266006996836,6.834245175144448,3.4533747641382986,8.960508096910615,8.341888203893,4.059530206954533,4.126215459559668,2.5824324949664113,3.3966491223471835,4.391750777479577,4.916297725634536,5.27315438425698,9.05963248531832,0.47972234638652145,6.130762232666732,5.525689897007198,5.2687107044604655,6.262927822484315,5.004200941148374,5.684874392830555
1447,6.5048080345958414,8.607369067808369,6.973009113814708,10.433897419002141,9.661543852946966,9.081031412253967,8.020994391960906,7.235057484265347,6.264958798094474,8.99270309150736,4.575605742403734,3.524248149172485,3.7171387879209927,9.049741754076384,12.912052292023885,5.751170412911876,8.747622787024671,8.035413525005762,9.755209552308981,5.026928337870629,5.9015567184194175,6.396538698547846,4.6325259653058435,7.1353048454020405,10.964577658870404,6.835899365425507,3.4541627464037523,8.960508096910615,8.343990775992594,4.06041049356295,4.127087466509022,2.5829676589452664,3.398325140203115,4.3923762360558545,4.917674822188904,5.2743216390415855,9.062379144859252,0.4799944687994703,6.131398962990495,5.526250869597598,5.269288536157017,6.264356992529887,5.004865885596273,5.685668955285708
1448,6.50541911662164,8.607369067808369,6.973009113814708,10.435019060172253,9.661543852946966,9.081964717674593,8.021775296482211,7.235057484265347,6.267268347385776,8.993842047354216,4.576070900688016,3.5246257283692506,3.7176631156583526,9.05101358567333,12.912052292023885,5.753530638868925,8.749505006680252,8.037721332663589,9.758721792075624,5.028001604252742,5.905006338095489,6.397500106874294,4.633380700362534,7.136221288123675,10.965889310743972,6.837553555706567,3.454950728669206,8.960508096910615,8.34609334809219,4.061290780171365,4.127959473458376,2.583502822924122,3.4000011580590472,4.393001694632131,4.919051918743273,5.275488893826192,9.065125804400182,0.4802665912124191,6.132024804073681,5.526811842187997,5.269866367853568,6.265786162575459,5.005530830044172,5.686463517740862
1449,6.506030198647439,8.607369067808369,6.973009113814708,10.436140701342364,9.661543852946966,9.082853129630301,8.022556201003516,7.235057484265347,6.269577896677077,8.99498100320107,4.576536058972298,3.5250033075660157,3.7181874433957125,9.052285417270275,12.912052292023885,5.755890864825975,8.751387226335833,8.040029140321414,9.762234031842267,5.0290748706348545,5.908455957771559,6.398461515200743,4.634235435419225,7.137137730845309,10.96720096261754,6.8392077459876255,3.4557387109346593,8.960508096910615,8.348195920191783,4.062171066779782,4.1288314804077295,2.584037986902977,3.4016771759149793,4.393627153208408,4.920429015297642,5.276656148610798,9.067872463941114,0.48053871362536793,6.132650645156867,5.5273728147783965,5.270387767225177,6.267215332621031,5.00619577449207,5.687258080196014
1450,6.506641280673238,8.607369067808369,6.973009113814708,10.437262342512476,9.661543852946966,9.083741541586011,8.02333710552482,7.235057484265347,6.271757536978239,8.996119959047926,4.5769929069031035,3.5253808867627807,3.7187117711330724,9.053557248867218,12.912052292023885,5.758251090783025,8.753269445991416,8.04233694797924,9.76574627160891,5.030148137016967,5.911763895205652,6.399422923527191,4.635090170475915,7.1380541735669425,10.968512614491107,6.840861936268685,3.456526693200113,8.960508096910615,8.350298492291378,4.063051353388198,4.129703487357084,2.584573150881832,3.4033531937709114,4.394252611784686,4.9218061118520104,5.277823403395405,9.070619123482047,0.48081083603831676,6.133276486240053,5.527933787368797,5.270909166596786,6.268644502666604,5.006860718939969,5.688052642651168
1451,6.507252362699036,8.607369067808369,6.973009113814708,10.438353928670752,9.661543852946966,9.08462995354172,8.024118010046125,7.235057484265347,6.273937177279399,8.997258914894779,4.57744975483391,3.5257584659595462,3.7192360988704323,9.054829080464163,12.912052292023885,5.760611316740074,8.755151665646997,8.044644755637067,9.76925851137555,5.03122140339908,5.915071832639747,6.4003843318536395,4.6359449055326065,7.138970616288577,10.969824266364677,6.842516126549745,3.4573146754655664,8.960508096910615,8.352401064390973,4.063931639996613,4.130575494306437,2.5851083148606873,3.4050292116268435,4.394878070360964,4.923183208406379,5.278990658180011,9.073365783022977,0.4810829584512656,6.13390232732324,5.528494759959196,5.271430565968395,6.270073672712176,5.007525663387868,5.68884720510632
1452,6.507863444724835,8.607369067808369,6.973009113814708,10.439445514829028,9.661543852946966,9.085518365497428,8.02489891456743,7.235057484265347,6.276116817580561,8.998397870741634,4.577906602764715,3.5261360451563113,3.7197604266077917,9.056100912061108,12.912052292023885,5.762971542697124,8.757033885302578,8.046952563294893,9.772770751142193,5.032294669781192,5.91837977007384,6.401345740180088,4.636799640589297,7.139887059010211,10.971135918238245,6.8441703168308035,3.45810265773102,8.960508096910615,8.354503636490566,4.06481192660503,4.131447501255791,2.585643478839543,3.4067052294827755,4.39550352893724,4.924560304960748,5.280157912964618,9.07611244256391,0.4813550808642144,6.134528168406425,5.529055732549596,5.271951965340004,6.271502842757748,5.008190607835767,5.689641767561473
1453,6.508474526750634,8.607369067808369,6.973009113814708,10.440537100987305,9.661543852946966,9.086406777453139,8.025679819088735,7.235057484265347,6.278296457881722,8.99953682658849,4.57836345069552,3.5265136243530764,3.7202847543451516,9.057372743658053,12.912052292023885,5.765331768654174,8.75891610495816,8.04926037095272,9.776282990908836,5.033367936163304,5.9216877075079335,6.402307148506536,4.637654375645988,7.140780708911614,10.972447570111813,6.845824507111863,3.458890639996474,8.960508096910615,8.356606208590161,4.065692213213445,4.132243247509035,2.586178642818398,3.408381247338707,4.396128987513517,4.9259374015151165,5.281325167749223,9.07885910210484,0.48162720327716324,6.135154009489612,5.529616705139995,5.272473364711613,6.27293201280332,5.0088555522836655,5.6904363300166265
1454,6.509117238206084,8.607369067808369,6.973009113814708,10.441628687145581,9.661543852946966,9.087295189408847,8.026460723610041,7.235057484265347,6.280476098182883,9.000675782435344,4.578820298626326,3.526891203549842,3.7208090820825115,9.058644575254997,12.912052292023885,5.767691994611223,8.760798324613742,8.051568178610546,9.779795230675477,5.034441202545417,5.924995644942027,6.403268556832985,4.638509110702678,7.1416743588130185,10.97375922198538,6.847478697392922,3.459678622261927,8.960508096910615,8.358708780689756,4.066572499821861,4.1330389937622805,2.586713806797253,3.4100572651946393,4.396754446089795,4.927314498069486,5.28249242253383,9.081605761645772,0.48189932569011207,6.135779850572797,5.5302140323294715,5.272994764083222,6.274361182848892,5.0095204967315645,5.691230892471779
